,column,db_nb,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
186,d_in_deg_SgAsNd,200,0.4103877736034027,-7.395902669920864e-05,0.0,0.0,104.7254034672323,128.2277229468842,0.002,0.0
187,d_in_deg_SgAsNd,300,0.3519796383729818,-7.395902669920864e-05,0.0,0.0,126.51334637657044,154.86464044496736,0.002,0.0
188,d_in_deg_SgAsNd,400,0.3107376085593152,-7.395902669920864e-05,0.0,0.0,141.0163926477867,172.5633750971149,0.002,0.0
189,d_node_ecc_SgAsNd,10,1.4667148055454262,-7.395902669920864e-05,2.4424906541753444e-14,2.6645352591003757e-15,7.712789049788248,7.983820093636275,0.002,5.113687251423471e-13
190,d_node_ecc_SgAsNd,50,0.7986452221769624,-7.395902669920864e-05,0.0,0.0,39.04586183816578,40.41764849908683,0.002,0.0
191,d_node_ecc_SgAsNd,100,0.7244352632049859,-7.395902669920864e-05,0.0,0.0,95.38940779019946,98.73677017866183,0.002,0.0
192,d_node_ecc_SgAsNd,150,0.6954538564378374,-7.395902669920864e-05,0.0,0.0,137.63263448878118,142.45344621542452,0.002,0.0
193,d_node_ecc_SgAsNd,200,0.6828793192259399,-7.395902669920864e-05,0.0,0.0,174.24902720159537,180.3387130839438,0.002,0.0
194,d_node_ecc_SgAsNd,300,0.6610285768185176,-7.395902669920864e-05,0.0,0.0,237.57261600386863,245.82924265170547,0.002,0.0
195,d_node_ecc_SgAsNd,400,0.6385666890212952,-7.395902669920864e-05,0.0,0.0,289.75369573736964,299.75647322516085,0.002,0.0
196,d_out_deg_SgAsNd,10,0.9967050445984321,-7.395902669920864e-05,3.188204327209121e-07,2.3705171159349447e-10,5.241345154741072,6.441208531722989,0.002,2.7198112428905574e-08
197,d_out_deg_SgAsNd,50,0.5204122983888412,-7.395902669920864e-05,0.0,0.0,25.444280009758714,31.268620002028108,0.002,0.0
198,d_out_deg_SgAsNd,100,0.47040056345705417,-7.395902669920864e-05,0.0,0.0,61.94301563459029,76.11962004758011,0.002,0.0
199,d_out_deg_SgAsNd,150,0.43957733677485245,-7.395902669920864e-05,0.0,0.0,86.99920370137845,106.90161209797722,0.002,0.0
200,d_out_deg_SgAsNd,200,0.4012339707589822,-7.395902669920864e-05,0.0,0.0,102.38989781607496,125.79982472243786,0.002,0.0
201,d_out_deg_SgAsNd,300,0.34432698589369476,-7.395902669920864e-05,0.0,0.0,123.76330297135443,152.01976930668323,0.002,0.0
202,d_out_deg_SgAsNd,400,0.3038690767165022,-7.395902669920864e-05,0.0,0.0,137.90011357624957,169.330407009831,0.002,0.0
203,d_page_rank_SgAsNd,10,0.7937454045464967,-7.395902669920864e-05,5.982640415158613e-05,5.671392844242007e-06,4.1741261201051145,4.682375337528784,0.004,3.813690802378922e-05
204,d_page_rank_SgAsNd,50,0.4262399877824375,-7.395902669920864e-05,0.0,0.0,20.840610640785744,23.377961993695706,0.002,0.0
205,d_page_rank_SgAsNd,100,0.344492730371904,-7.395902669920864e-05,0.0,0.0,45.36589933903113,50.887338683143106,0.002,0.0
206,d_page_rank_SgAsNd,150,0.29281912382350755,-7.395902669920864e-05,0.0,0.0,57.958352951407186,65.00781789269509,0.002,0.0
207,d_page_rank_SgAsNd,200,0.24692230952092536,-7.395902669920864e-05,0.0,0.0,63.018746504832784,70.6774373366849,0.002,0.0
208,d_page_rank_SgAsNd,300,0.18282994432368904,-7.395902669920864e-05,0.0,0.0,65.72801712326829,73.69973705482904,0.002,0.0
209,d_page_rank_SgAsNd,400,0.14576522027930996,-7.395902669920864e-05,0.0,0.0,66.16779141193248,74.17325129894216,0.002,0.0
210,ud_art_pt_SgAsNd,10,-0.016794353983198347,-7.395902669920864e-05,1.8598796420609078,1.8592603333668263,-0.08792055287268319,-0.08831015661709629,0.716,0.932399066685035
211,ud_art_pt_SgAsNd,50,0.2104155106331521,-7.395902669920864e-05,0.0,0.0,10.28990281458094,10.335432542157347,0.002,0.0
212,ud_art_pt_SgAsNd,100,0.08015287321604374,-7.395902669920864e-05,0.0,0.0,10.56272271172237,10.609027411694202,0.002,0.0
213,ud_art_pt_SgAsNd,150,0.07818982127941965,-7.395902669920864e-05,0.0,0.0,15.48701580164417,15.553973620020878,0.002,0.0
214,ud_art_pt_SgAsNd,200,0.07739367498777407,-7.395902669920864e-05,0.0,0.0,19.765129323587118,19.849163838815304,0.002,0.0
215,ud_art_pt_SgAsNd,300,0.06754344355368862,-7.395902669920864e-05,0.0,0.0,24.298867947725633,24.397869966558375,0.002,0.0
216,ud_art_pt_SgAsNd,400,0.0624341505305295,-7.395902669920864e-05,0.0,0.0,28.360167510669143,28.469696530882384,0.002,0.0
217,ud_auth_score_SgAsNd,10,0.001081548245584083,-7.395902669920864e-05,1.990304193343384,1.9903020894154708,0.00607598316259057,0.0060773016282317,0.832,0.8120648266836157
218,ud_auth_score_SgAsNd,50,0.021843407387855854,-7.395902669920864e-05,0.5679401407770883,0.5677374095656322,1.0714434822881258,1.071669054787051,0.018,0.2736034540839909
219,ud_auth_score_SgAsNd,100,0.6882403700137419,-7.395902669920864e-05,0.0,0.0,90.62396199517244,90.63933687163788,0.002,0.0
220,ud_auth_score_SgAsNd,150,0.5658651660034507,-7.395902669920864e-05,0.0,0.0,111.98932811357389,112.00164277605937,0.002,0.0
221,ud_auth_score_SgAsNd,200,0.46588194438242,-7.395902669920864e-05,0.0,0.0,118.88421283460735,118.8888517040919,0.002,0.0
222,ud_auth_score_SgAsNd,300,0.35463501397274605,-7.395902669920864e-05,0.0,0.0,127.46757736723258,127.45023317553539,0.002,0.0
223,ud_auth_score_SgAsNd,400,0.2637217951221141,-7.395902669920864e-05,0.0,0.0,119.68513892448168,119.64376782900906,0.002,0.0
224,ud_bridge_SgAsNd,10,0.00648824070033197,-7.395902669920864e-05,1.944947479867614,1.944790878044226,0.03450589711323137,0.03460409135966844,0.584,0.9935878337786901
225,ud_bridge_SgAsNd,50,0.3259184888573461,-7.395902669920864e-05,0.0,0.0,15.936334546497227,15.981580420188944,0.002,0.0
226,ud_bridge_SgAsNd,100,0.38163557738588816,-7.395902669920864e-05,0.0,0.0,50.25615341943113,50.39678340511625,0.002,0.0
227,ud_bridge_SgAsNd,150,0.24908932208643095,-7.395902669920864e-05,0.0,0.0,49.30499979294847,49.44000628810842,0.002,0.0
228,ud_bridge_SgAsNd,200,0.20776941944675828,-7.395902669920864e-05,0.0,0.0,53.02925933960553,53.17067236381213,0.002,0.0
229,ud_bridge_SgAsNd,300,0.18944381493008033,-7.395902669920864e-05,0.0,0.0,68.10476574647936,68.27436210951319,0.002,0.0
230,ud_bridge_SgAsNd,400,0.1451328267858213,-7.395902669920864e-05,0.0,0.0,65.8808720740252,66.03101210507123,0.002,0.0
231,ud_btw_cntr_SgAsNd,10,0.014759499462017845,-7.395902669920864e-05,1.875658478543583,1.875292540928208,0.07799850869163087,0.07822852676925053,0.502,0.9157948210426665
232,ud_btw_cntr_SgAsNd,50,0.09723569487497226,-7.395902669920864e-05,3.929040011119156e-06,3.6655867439172596e-06,4.757040260431116,4.771037580984868,0.018,3.958422891914282e-06
233,ud_btw_cntr_SgAsNd,100,0.10329987997287023,-7.395902669920864e-05,0.0,0.0,13.610274349296077,13.649765129417812,0.002,0.0
234,ud_btw_cntr_SgAsNd,150,0.12307902712111811,-7.395902669920864e-05,0.0,0.0,24.36979449537013,24.439040135320198,0.002,0.0
235,ud_btw_cntr_SgAsNd,200,0.12998410561645804,-7.395902669920864e-05,0.0,0.0,33.183077035335664,33.27499214242822,0.002,0.0
236,ud_btw_cntr_SgAsNd,300,0.13789328476811602,-7.395902669920864e-05,0.0,0.0,49.57966011924641,49.708240714071074,0.002,0.0
237,ud_btw_cntr_SgAsNd,400,0.1224935654804604,-7.395902669920864e-05,0.0,0.0,55.609352946574724,55.74181906441739,0.002,0.0
238,ud_clo_cntr_SgAsNd,10,1.2719875085433623,-7.395902669920864e-05,4.498357242255224e-11,5.8477667153056245e-12,6.688857996941318,6.9813397242086195,0.002,1.8088752717915213e-10
239,ud_clo_cntr_SgAsNd,50,0.7864137871497195,-7.395902669920864e-05,0.0,0.0,38.44792086792827,40.12881013907634,0.002,0.0
240,ud_clo_cntr_SgAsNd,100,0.7110419808891675,-7.395902669920864e-05,0.0,0.0,93.62603856138884,97.71538047834325,0.002,0.0
241,ud_clo_cntr_SgAsNd,150,0.6842165149294541,-7.395902669920864e-05,0.0,0.0,135.4089636562697,141.3143087062236,0.002,0.0
242,ud_clo_cntr_SgAsNd,200,0.6682480057020543,-7.395902669920864e-05,0.0,0.0,170.51598684670964,177.93867817262029,0.002,0.0
243,ud_clo_cntr_SgAsNd,300,0.6444845534537244,-7.395902669920864e-05,0.0,0.0,231.62738557909339,241.6642263898858,0.002,0.0
244,ud_clo_cntr_SgAsNd,400,0.6233484865544872,-7.395902669920864e-05,0.0,0.0,282.8491392849814,295.0381029142486,0.002,0.0
245,ud_deg_cntr_SgAsNd,10,1.2816807402926809,-7.395902669920864e-05,3.171507501065207e-11,9.592326932761353e-14,6.739827743573522,7.5373254052437275,0.002,8.575362642204709e-13
246,ud_deg_cntr_SgAsNd,50,0.6284802078450321,-7.395902669920864e-05,0.0,0.0,30.72724398641812,34.36273143843987,0.002,0.0
247,ud_deg_cntr_SgAsNd,100,0.4795662006983793,-7.395902669920864e-05,0.0,0.0,63.149770057641945,70.61871254521633,0.002,0.0
248,ud_deg_cntr_SgAsNd,150,0.44854694119626726,-7.395902669920864e-05,0.0,0.0,88.77412953380835,99.26677790964251,0.002,0.0
249,ud_deg_cntr_SgAsNd,200,0.4166244228765612,-7.395902669920864e-05,0.0,0.0,106.31662515610954,118.87222611626339,0.002,0.0
250,ud_deg_cntr_SgAsNd,300,0.3628094994406441,-7.395902669920864e-05,0.0,0.0,130.40514573491592,145.77360719626182,0.002,0.0
251,ud_deg_cntr_SgAsNd,400,0.32438427359028166,-7.395902669920864e-05,0.0,0.0,147.20793657675267,164.51343609915403,0.002,0.0
252,ud_eig_cntr_SgAsNd,10,0.0011003272475450271,-7.395902669920864e-05,1.9901466216161787,1.9901444834861044,0.006174728451747849,0.00617606835162133,0.354,0.9476290534496203
253,ud_eig_cntr_SgAsNd,50,0.02184915205304635,-7.395902669920864e-05,0.5676877536336744,0.5674850292419404,1.0717243136599186,1.0719499464756488,0.01,0.0002009057635605771
254,ud_eig_cntr_SgAsNd,100,0.6882436253302673,-7.395902669920864e-05,0.0,0.0,90.62439059249873,90.63976564255512,0.002,0.0
255,ud_eig_cntr_SgAsNd,150,0.5658683414315728,-7.395902669920864e-05,0.0,0.0,111.98995647455149,112.00227133077497,0.002,0.0
256,ud_eig_cntr_SgAsNd,200,0.465885754457401,-7.395902669920864e-05,0.0,0.0,118.88518493896667,118.88982397867102,0.002,0.0
257,ud_eig_cntr_SgAsNd,300,0.3546394939685311,-7.395902669920864e-05,0.0,0.0,127.46918729044515,127.45184302145529,0.002,0.0
258,ud_eig_cntr_SgAsNd,400,0.26372699758768314,-7.395902669920864e-05,0.0,0.0,119.6874993029358,119.64612752458721,0.002,0.0
259,ud_far_cntr_SgAsNd,10,1.1722350654937614,-7.395902669920864e-05,1.4156302796664022e-09,2.050040137646647e-10,6.1643315149928295,6.463214079085879,0.002,2.174955104905507e-09
260,ud_far_cntr_SgAsNd,50,0.893902404782481,-7.395902669920864e-05,0.0,0.0,43.70256581953618,45.82115726429212,0.002,0.0
261,ud_far_cntr_SgAsNd,100,0.8091933210490018,-7.395902669920864e-05,0.0,0.0,106.54871493922938,111.7095386038425,0.002,0.0
262,ud_far_cntr_SgAsNd,150,0.777838612450266,-7.395902669920864e-05,0.0,0.0,153.9351183860397,161.38085566169448,0.002,0.0
263,ud_far_cntr_SgAsNd,200,0.7693647996308257,-7.395902669920864e-05,0.0,0.0,196.31497418141097,205.79459606129535,0.002,0.0
264,ud_far_cntr_SgAsNd,300,0.7486830651479411,-7.395902669920864e-05,0.0,0.0,269.0719749804273,282.0106136877988,0.002,0.0
265,ud_far_cntr_SgAsNd,400,0.7312062066200115,-7.395902669920864e-05,0.0,0.0,331.784597900581,347.65868121844653,0.002,0.0
266,ud_hub_score_SgAsNd,10,0.0010849270169270178,-7.395902669920864e-05,1.990275842583889,1.9902737325022781,0.0060937496953354054,0.006095072017448822,0.756,0.8089914080044067
267,ud_hub_score_SgAsNd,50,0.02184446623612226,-7.395902669920864e-05,0.5678936154392753,0.5676908854903688,1.0714952447148844,1.0717208283226092,0.016,0.2846247694884194
268,ud_hub_score_SgAsNd,100,0.6882410524900676,-7.395902669920864e-05,0.0,0.0,90.6240518504987,90.63942676006974,0.002,0.0
269,ud_hub_score_SgAsNd,150,0.5658658249257638,-7.395902669920864e-05,0.0,0.0,111.98945850262785,112.00177320152012,0.002,0.0
270,ud_hub_score_SgAsNd,200,0.4658827340536425,-7.395902669920864e-05,0.0,0.0,118.88441431170207,118.88905321247094,0.002,0.0
271,ud_hub_score_SgAsNd,300,0.3546359440971142,-7.395902669920864e-05,0.0,0.0,127.46791161504947,127.45056740297265,0.002,0.0
272,ud_hub_score_SgAsNd,400,0.26372287797955524,-7.395902669920864e-05,0.0,0.0,119.68563022102926,119.64425897928534,0.002,0.0
273,ud_node_ecc_SgAsNd,10,1.5569104756898133,-7.395902669920864e-05,4.440892098500626e-16,0.0,8.187063324196718,8.55710506134021,0.002,0.0
274,ud_node_ecc_SgAsNd,50,0.9062611514860776,-7.395902669920864e-05,0.0,0.0,44.306730496731376,46.308959773905244,0.002,0.0
275,ud_node_ecc_SgAsNd,100,0.8009838093480637,-7.395902669920864e-05,0.0,0.0,105.46784469580165,110.22960982934033,0.002,0.0
276,ud_node_ecc_SgAsNd,150,0.7790047040873458,-7.395902669920864e-05,0.0,0.0,154.16586726552117,161.11605445344642,0.002,0.0
277,ud_node_ecc_SgAsNd,200,0.7708635576276889,-7.395902669920864e-05,0.0,0.0,196.69736801607007,205.54909904128758,0.002,0.0
278,ud_node_ecc_SgAsNd,300,0.7515126108554231,-7.395902669920864e-05,0.0,0.0,270.08879542715204,282.1893163001559,0.002,0.0
279,ud_node_ecc_SgAsNd,400,0.7354329461164982,-7.395902669920864e-05,0.0,0.0,333.7022857173047,348.5729505925779,0.002,0.0
280,ud_page_rank_SgAsNd,10,1.1003175648188184,-7.395902669920864e-05,1.4401952963538633e-08,2.60063615087347e-09,5.786169011235415,6.067357617118607,0.006,2.968474133169252e-09
281,ud_page_rank_SgAsNd,50,0.28382060281370647,-7.395902669920864e-05,0.0,0.0,13.87835436920677,14.552681123625169,0.002,0.0
282,ud_page_rank_SgAsNd,100,0.22681255163674402,-7.395902669920864e-05,0.0,0.0,29.872041961185307,31.3222446073295,0.002,0.0
283,ud_page_rank_SgAsNd,150,0.20372982562685754,-7.395902669920864e-05,0.0,0.0,40.32915891641067,42.2843236646474,0.002,0.0
284,ud_page_rank_SgAsNd,200,0.18565447569817015,-7.395902669920864e-05,0.0,0.0,47.38684197736836,49.6803010691287,0.002,0.0
285,ud_page_rank_SgAsNd,300,0.15336967604249385,-7.395902669920864e-05,0.0,0.0,55.141228199835695,57.79886600543748,0.002,0.0
286,ud_page_rank_SgAsNd,400,0.13319706959219338,-7.395902669920864e-05,0.0,0.0,60.46557355075037,63.36521428268192,0.002,0.0
287,d_btw_cntr_SgAsEg,10,0.013658027950877219,-7.395902669920864e-05,1.8848748889180595,1.8845199709869647,0.07220666080257418,0.07242965499202857,0.514,0.8978310014425581
288,d_btw_cntr_SgAsEg,50,0.1287466324515549,-7.395902669920864e-05,6.05081318383327e-10,5.337996711318738e-10,6.297471170268731,6.316878145827704,0.006,9.388283483957593e-10
289,d_btw_cntr_SgAsEg,100,0.15032515549564365,-7.395902669920864e-05,0.0,0.0,19.801656109035594,19.861869117236015,0.002,0.0
290,d_btw_cntr_SgAsEg,150,0.16976528673862623,-7.395902669920864e-05,0.0,0.0,33.608178299320905,33.708354137602434,0.002,0.0
291,d_btw_cntr_SgAsEg,200,0.21391823843432145,-7.395902669920864e-05,0.0,0.0,54.59807196726121,54.75690620394086,0.002,0.0
292,d_btw_cntr_SgAsEg,300,0.1992229204190136,-7.395902669920864e-05,0.0,0.0,71.61896747346776,71.81467032418387,0.002,0.0
293,d_btw_cntr_SgAsEg,400,0.17361611097822005,-7.395902669920864e-05,0.0,0.0,78.80384665560102,79.00252193524157,0.002,0.0
294,ud_bridge_SgAsEg,10,1.3397490348257544,-7.395902669920864e-05,3.704592188569222e-12,4.516387264175137e-13,7.045167215099414,7.332530195023315,0.004,8.357092795563403e-12
295,ud_bridge_SgAsEg,50,0.3550248707679697,-7.395902669920864e-05,0.0,0.0,17.359217323618502,18.06713796164133,0.002,0.0
296,ud_bridge_SgAsEg,100,0.19743423468159305,-7.395902669920864e-05,0.0,0.0,26.004071519632422,27.063464214301867,0.002,0.0
297,ud_bridge_SgAsEg,150,0.18249168947475114,-7.395902669920864e-05,0.0,0.0,36.126507972402706,37.59590788260264,0.002,0.0
298,ud_bridge_SgAsEg,200,0.1689298762712267,-7.395902669920864e-05,0.0,0.0,43.11971965248918,44.870120667043274,0.002,0.0
299,ud_bridge_SgAsEg,300,0.14562616313251528,-7.395902669920864e-05,0.0,0.0,52.35853335397285,54.47364680893777,0.002,0.0
300,ud_bridge_SgAsEg,400,0.12461653637026918,-7.395902669920864e-05,0.0,0.0,56.5725529294526,58.84453046134368,0.002,0.0
301,ud_btw_cntr_SgAsEg,10,-0.013359011106609416,-7.395902669920864e-05,1.8886156716865277,1.8882856229371638,-0.06985655104720405,-0.07006388520049063,0.892,0.950293290383525
302,ud_btw_cntr_SgAsEg,50,0.10458205100166577,-7.395902669920864e-05,6.236000018589039e-07,5.75427066440426e-07,5.1161712454971875,5.131322454516829,0.01,5.280637043192371e-07
303,ud_btw_cntr_SgAsEg,100,0.10104325583856888,-7.395902669920864e-05,0.0,0.0,13.313165584947953,13.352047131906735,0.002,0.0
304,ud_btw_cntr_SgAsEg,150,0.11865267520790934,-7.395902669920864e-05,0.0,0.0,23.493897857674202,23.56110080354696,0.002,0.0
305,ud_btw_cntr_SgAsEg,200,0.123651399444703,-7.395902669920864e-05,0.0,0.0,31.567347343247334,31.655386283766454,0.002,0.0
306,ud_btw_cntr_SgAsEg,300,0.1292496090077189,-7.395902669920864e-05,0.0,0.0,46.47348437351072,46.59489120203833,0.002,0.0
307,ud_btw_cntr_SgAsEg,400,0.1140800055997075,-7.395902669920864e-05,0.0,0.0,51.79208876646477,51.91644397167945,0.002,0.0
308,is_shared,10,0.0037859104743523113,-7.395902669920864e-05,1.967614042529874,1.967552340192619,0.02029628255981771,0.020334956745680446,0.364,0.6606873525371191
309,is_shared,50,0.0009441525753071275,-7.395902669920864e-05,1.9206097681640908,1.9204591344162636,0.049770990710233845,0.049865503624186985,0.074,0.8853113755410054
310,is_shared,100,0.14361966658007477,-7.395902669920864e-05,0.0,0.0,18.91880659246268,18.953958950426713,0.002,0.0
311,is_shared,150,0.20365894496339235,-7.395902669920864e-05,0.0,0.0,40.31513288865143,40.387624626594494,0.002,0.0
312,is_shared,200,0.15740536813397743,-7.395902669920864e-05,0.0,0.0,40.17935111508288,40.24873408684037,0.002,0.0
313,is_shared,300,0.12070352186194731,-7.395902669920864e-05,0.0,0.0,43.40237789647651,43.46968875742819,0.002,0.0
314,is_shared,400,0.09917023387056552,-7.395902669920864e-05,0.0,0.0,45.027468515116816,45.08781380965176,0.002,0.0
315,cycle_lane_both,10,-0.005902983493268867,-7.395902669920864e-05,1.9510962888462742,1.9502389028682805,-0.030650654792696668,-0.03118819867035163,0.968,0.9729151652076375
316,cycle_lane_both,50,0.1736820717520373,-7.395902669920864e-05,0.0,0.0,8.494166824828875,8.643075207419948,0.002,0.0
317,cycle_lane_both,100,0.1984644298022598,-7.395902669920864e-05,0.0,0.0,26.139707753724874,26.596881758534085,0.002,0.0
318,cycle_lane_both,150,0.20629763526356532,-7.395902669920864e-05,0.0,0.0,40.83728295876795,41.54897086081678,0.002,0.0
319,cycle_lane_both,200,0.17679092032528526,-7.395902669920864e-05,0.0,0.0,45.125390205404926,45.90844147536264,0.002,0.0
320,cycle_lane_both,300,0.14532666050559453,-7.395902669920864e-05,0.0,0.0,52.25090462965307,53.14797179035773,0.002,0.0
321,cycle_lane_both,400,0.12154755269701663,-7.395902669920864e-05,0.0,0.0,55.18014334168119,56.11532045568215,0.002,0.0
322,cycle_lane_one,10,0.023386059184136842,-7.395902669920864e-05,1.8036450223106932,1.8012647070664753,0.1233593929369588,0.12486256707884846,0.654,0.8990705771313408
323,cycle_lane_one,50,0.19450028631547,-7.395902669920864e-05,0.0,0.0,9.51187761566791,9.627717297630639,0.002,0.0
324,cycle_lane_one,100,0.2079057685420566,-7.395902669920864e-05,0.0,0.0,27.382761235310355,27.715117894359455,0.002,0.0
325,cycle_lane_one,150,0.22324377900630388,-7.395902669920864e-05,0.0,0.0,44.19062463092082,44.724270730075986,0.002,0.0
326,cycle_lane_one,200,0.21095427158799823,-7.395902669920864e-05,0.0,0.0,53.841844043513625,54.48808254928651,0.002,0.0
327,cycle_lane_one,300,0.18757262957809562,-7.395902669920864e-05,0.0,0.0,67.4323399501832,68.22946369906141,0.002,0.0
328,cycle_lane_one,400,0.1698036781025718,-7.395902669920864e-05,0.0,0.0,77.0741313315825,77.96848665814267,0.002,0.0
329,cycle_lane_right,10,0.0020749962946494736,-7.395902669920864e-05,1.981968490714355,1.9819497169294884,0.01129981321872015,0.011311578695612745,0.206,0.7490571603399196
330,cycle_lane_right,50,0.514415845296202,-7.395902669920864e-05,0.0,0.0,25.151139836736466,25.17716411033399,0.002,0.0
331,cycle_lane_right,100,0.2643567346882632,-7.395902669920864e-05,0.0,0.0,34.815136234326275,34.849736630802255,0.002,0.0
332,cycle_lane_right,150,0.19782584681571252,-7.395902669920864e-05,0.0,0.0,39.16086608947158,39.19744312210972,0.002,0.0
333,cycle_lane_right,200,0.16993697737207045,-7.395902669920864e-05,0.0,0.0,43.3766719107237,43.4141018637713,0.002,0.0
334,cycle_lane_right,300,0.12896217052446177,-7.395902669920864e-05,0.0,0.0,46.37019099811885,46.40206516020148,0.002,0.0
335,cycle_lane_right,400,0.10545227090903035,-7.395902669920864e-05,0.0,0.0,47.877652658919445,47.90050296527022,0.002,0.0
336,cycle_way_both,10,0.015775240384615384,-7.395902669920864e-05,1.8671630891767617,1.8660883731601992,0.08333956096476947,0.08401540131944578,0.87,0.9108837183548293
